표현,수학적 의미,수치 예시,시간 예시,포함 여부,"Python 표현 (&, |, ~)"
A 초과,x > A,100 초과,10시 초과,A 제외,(x > A)
A 이상,x ≥ A,60 이상,9시 이상, A 포함,(x >= A)
B 미만,x < B,30 미만,18시 미만,B 제외,(x < B)
B 이하,x ≤ B,25 이하,12시 이하, B 포함,(x <= B)
A부터 B까지,A ≤ x ≤ B,10부터 20까지,9시부터 18시까지,양쪽 포함,(x >= A) & (x <= B)
A 이상 B 이하,A ≤ x ≤ B,5 이상 15 이하,2023-01-01 이상 12-31 이하,양쪽 포함,(x >= A) & (x <= B)
A 초과 B 미만,A < x < B,70 초과 90 미만,13:00 초과 15:00 미만,양쪽 제외,(x > A) & (x < B)
A 이상 B 미만,A ≤ x < B,50 이상 60 미만,9시 이상 12시 미만,왼쪽만 포함,(x >= A) & (x < B)
A 초과 B 이하,A < x ≤ B,100 초과 120 이하,7:30 초과 8:30 이하,오른쪽만 포함,(x > A) & (x <= B)
A와 B 사이,보통 A ≤ x ≤ B,점수 80과 90 사이,1월과 3월 사이,양쪽 포함,(x >= A) & (x <= B)
A 미만 B 초과,x < A or x > B,A보다 작거나 B보다 큼,A시 이전 또는 B시 이후," A, B 제외",(x < A) | (x > B)
A 이하 B 이상,x ≤ A or x ≥ B,A보다 작거나 같거나 B보다 크거나 같음,A시 이전 또는 B시 이후 포함,"A, B 포함",(x <= A) | (x >= B)
A보다 크고 B보다 작다,A < x < B,A보다 크고 B보다 작다,"A시 이후, B시 이전"," A, B 제외",(x > A) & (x < B)
A보다 크고 B보다 작지 않다,x ≤ A or x ≥ B,A보다 작거나 같거나 B보다 크거나 같음,A 이하 또는 B 이상," A, B 포함",~((x > A) & (x < B))
